url_length,having_ip,has_at_symbol,redirect_count,subdomain_count,hyphen_count,domain_entropy,has_suspicious_keyword,ssl_valid,domain_age_months,label
15,0,0,0,0,0,2.8074,0,0,-1,0
15,0,0,0,0,0,2.8074,0,1,-1,0
22,0,0,0,0,0,3.3788,0,1,-1,0
17,0,0,0,0,0,2.9477,0,1,-1,0
21,0,0,0,0,0,3.3927,0,1,-1,0
17,0,0,0,0,0,2.9477,0,1,-1,0
20,0,0,0,0,0,3.0221,0,1,-1,0
21,0,0,0,0,0,3.027,0,1,-1,0
28,0,0,0,0,0,3.2464,0,1,-1,0
17,0,0,0,0,0,2.7219,0,1,-1,0
18,0,0,0,0,0,3.0958,0,1,-1,0
21,0,0,0,0,0,3.027,0,1,-1,0
21,0,0,0,0,0,3.3249,0,1,-1,0
18,0,0,0,0,0,2.8464,0,0,-1,0
19,0,0,0,0,0,3.0958,0,1,-1,0
19,0,0,0,0,0,3.2516,0,1,-1,0
17,0,0,0,0,0,2.6464,0,1,-1,0
23,0,0,0,0,0,3.1069,0,0,-1,0
22,0,0,0,0,0,3.1281,0,0,-1,0
18,0,0,0,0,0,2.9219,0,0,-1,0
20,0,0,0,0,0,3.085,0,1,-1,0
19,0,0,0,0,0,3.0958,0,0,-1,0
20,0,0,0,0,1,3.2389,0,0,-1,0
22,0,0,0,0,0,3.5069,0,1,-1,0
17,0,0,0,0,0,3.3219,0,1,-1,0
17,0,0,0,0,0,2.7219,0,1,-1,0
29,0,0,0,0,0,3.404,0,1,-1,0
18,0,0,0,0,0,3.1219,0,1,-1,0
17,0,0,0,0,0,3.1219,0,0,-1,0
22,0,0,0,0,0,3.182,0,0,-1,0
24,0,0,0,0,0,3.75,0,1,-1,0
16,0,0,0,0,0,3.0,0,1,-1,0
17,0,0,0,0,0,3.1699,0,1,-1,0
24,0,0,0,0,1,3.3278,0,0,-1,0
27,0,0,0,0,0,3.4058,0,0,-1,0
25,0,0,0,0,0,3.2639,0,0,-1,0
23,0,0,0,0,0,3.4566,0,1,-1,0
15,0,0,0,0,0,2.75,0,1,-1,0
13,0,0,0,0,0,2.3219,0,1,-1,0
22,0,0,0,0,0,3.6645,0,1,-1,0
26,0,0,0,0,0,3.3502,0,0,-1,0
17,0,0,0,0,0,2.9219,0,0,-1,0
19,0,0,0,0,0,3.4594,0,1,-1,0
22,0,0,0,0,0,3.3788,0,0,-1,0
16,0,0,0,0,0,3.1699,0,1,-1,0
